datetime,location_id,location,latitude,longitude,sensor_id,pm25
2023-01-01T06:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,34.0
2023-01-01T06:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,34.0
2023-01-01T07:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-01T07:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-01T08:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-01T08:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-01T09:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,38.0
2023-01-01T09:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,38.0
2023-01-01T10:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-01T10:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-01T11:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-01T11:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-01T12:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,28.0
2023-01-01T12:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,28.0
2023-01-01T13:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,24.0
2023-01-01T13:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,24.0
2023-01-01T14:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,19.0
2023-01-01T14:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,19.0
2023-01-01T15:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,23.0
2023-01-01T15:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,23.0
2023-01-01T16:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,23.0
2023-01-01T16:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,23.0
2023-01-01T17:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,29.0
2023-01-01T17:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,29.0
2023-01-01T18:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-01T18:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-01T19:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-01T19:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-01T20:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,45.0
2023-01-01T20:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,45.0
2023-01-01T21:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,53.0
2023-01-01T21:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,53.0
2023-01-01T22:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-01T22:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-01T23:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,58.0
2023-01-01T23:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,58.0
2023-01-02T00:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-02T00:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-02T01:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-02T01:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-02T02:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,24.0
2023-01-02T02:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,24.0
2023-01-02T03:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,21.0
2023-01-02T03:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,21.0
2023-01-02T04:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-02T04:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-02T05:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-02T05:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,25.0
2023-01-02T06:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,30.0
2023-01-02T06:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,30.0
2023-01-02T07:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-02T07:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-02T08:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,55.0
2023-01-02T08:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,55.0
2023-01-02T09:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,39.0
2023-01-02T09:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,39.0
2023-01-02T10:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,35.0
2023-01-02T10:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,35.0
2023-01-02T11:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-02T11:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,41.0
2023-01-02T12:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-02T12:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-02T13:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-02T13:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-02T14:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-02T14:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
2023-01-02T15:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,30.0
2023-01-02T15:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,30.0
2023-01-02T16:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,32.0
2023-01-02T16:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,32.0
2023-01-02T17:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-02T17:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-02T18:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,39.0
2023-01-02T18:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,39.0
2023-01-02T19:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-02T19:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-02T20:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-02T20:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,48.0
2023-01-02T21:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,44.0
2023-01-02T21:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,44.0
2023-01-02T22:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-02T22:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-02T23:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,38.0
2023-01-02T23:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,38.0
2023-01-03T00:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-03T00:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-03T01:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,29.0
2023-01-03T01:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,29.0
2023-01-03T02:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-03T02:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,31.0
2023-01-03T03:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-03T03:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-03T04:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T04:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T05:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,24.0
2023-01-03T06:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T07:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,33.0
2023-01-03T08:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,42.0
2023-01-03T09:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,40.0
2023-01-03T10:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,45.0
2023-01-03T11:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,43.0
2023-01-03T12:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,38.0
2023-01-03T13:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,26.0
2023-01-03T14:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,30.0
2023-01-03T15:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T15:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T16:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,28.0
2023-01-03T16:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,28.0
2023-01-03T17:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T17:30:00+05:30,7802,Colombo,6.909445,79.875341,22655,27.0
2023-01-03T18:00:00+05:30,7802,Colombo,6.909445,79.875341,22655,36.0
